=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
CYBERUSDT    | 1h    | 60       | 43.33 %   | 20.32 % | $+46,172.50
CYBERUSDT    | 4h    | 14       | 35.71 %   | 12.02 % | $+46,059.09
ARKUSDT      | 1h    | 56       | 37.50 %   | 31.10 % | $+28,578.11
ARKUSDT      | 4h    | 13       | 46.15 %   |  9.64 % | $+33,972.43
BICOUSDT     | 1h    | 59       | 47.46 %   |  9.86 % | $+99,477.59
BICOUSDT     | 4h    | 9        | 33.33 %   |  9.69 % | $+27,136.13
BIGTIMEUSDT  | 1h    | 59       | 28.81 %   | 45.60 % | $-21,365.75
BIGTIMEUSDT  | 4h    | 17       | 29.41 %   | 25.26 % | $-12,962.25
WAXPUSDT     | 1h    | 63       | 42.86 %   |  8.69 % | $+56,152.74
WAXPUSDT     | 4h    | 14       | 35.71 %   | 21.70 % | $-14,876.41
BSVUSDT      | 1h    | 60       | 43.33 %   | 14.99 % | $+30,822.03
BSVUSDT      | 4h    | 8        | 37.50 %   |  6.89 % | $-703.42
RIFUSDT      | 1h    | 70       | 42.86 %   | 10.09 % | $+59,161.88
RIFUSDT      | 4h    | 13       | 30.77 %   | 13.66 % | $+6,185.20
POLYXUSDT    | 1h    | 65       | 36.92 %   |  7.51 % | $+38,679.46
POLYXUSDT    | 4h    | 10       | 30.00 %   |  7.22 % | $+6,130.63
GASUSDT      | 1h    | 65       | 27.69 %   | 51.10 % | $-17,262.85
GASUSDT      | 4h    | 16       | 31.25 %   | 21.27 % | $-2,729.15
