===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
VTHOUSDT        | 6        | 50.00 %   |  1.31 % | $+6,055.46
ANIMEUSDT       | 7        | 57.14 %   |  2.39 % | $+2,051.89
VINEUSDT        | 8        | 25.00 %   |  5.55 % | $-1,674.11
PIPPINUSDT      | 5        | 20.00 %   |  2.13 % | $-1,937.70
VVVUSDT         | 9        | 77.78 %   |  0.60 % | $+10,803.05
BERAUSDT        | 8        | 12.50 %   | 10.12 % | $-7,930.43
TSTUSDT         | 5        | 40.00 %   |  1.27 % | $+1,852.43
LAYERUSDT       | 16       | 31.25 %   |  5.67 % | $-18.51
HEIUSDT         | 4        | 25.00 %   |  2.35 % | $-528.11
B3USDT          | 7        | 42.86 %   |  1.90 % | $+2,332.44
IPUSDT          | 12       | 25.00 %   |  5.74 % | $-5,743.58
GPSUSDT         | 11       | 63.64 %   |  1.98 % | $+19,623.58
SHELLUSDT       | 6        | 66.67 %   |  2.04 % | $+9,472.32
KAITOUSDT       | 3        |  0.00 %   |  2.53 % | $-2,527.93
REDUSDT         | 13       | 23.08 %   |  8.02 % | $-568.17
VICUSDT         | 12       | 33.33 %   |  3.63 % | $+1,498.04
EPICUSDT        | 10       | 30.00 %   |  2.46 % | $+1,154.82
BMTUSDT         | 7        | 28.57 %   |  5.76 % | $-2,197.90
MUBARAKUSDT     | 7        | 42.86 %   |  3.19 % | $+4,644.93
FORMUSDT        | 2        |  0.00 %   |  1.41 % | $-1,410.13
TUTUSDT         | 5        | 20.00 %   |  4.39 % | $-3,532.96
BROCCOLI714USDT | 8        | 12.50 %   |  8.02 % | $-5,752.93
BROCCOLIF3BUSDT | 2        | 50.00 %   |  0.48 % | $+962.79
SIRENUSDT       | 2        |  0.00 %   |  1.99 % | $-1,988.57
BANANAS31USDT   | 2        | 100.00 %   |  0.00 % | $+6,745.06
BRUSDT          | 5        | 20.00 %   |  2.38 % | $-2,376.13
PLUMEUSDT       | 8        | 37.50 %   |  4.22 % | $+1,142.06
NILUSDT         | 8        | 37.50 %   |  3.40 % | $+1,397.84
PARTIUSDT       | 4        | 25.00 %   |  2.60 % | $-1,454.23
JELLYJELLYUSDT  | 7        | 28.57 %   |  5.51 % | $+2,499.86
MAVIAUSDT       | 8        | 50.00 %   |  2.55 % | $+3,615.30
PAXGUSDT        | 8        | 87.50 %   |  0.50 % | $+8,138.40
WALUSDT         | 13       | 38.46 %   |  5.09 % | $+5,382.14
